17316	2
2	0	8662
2	0	8663
2	1	8662
2	1	8663
2	2	8662
2	2	8663
2	3	8662
2	3	8663
2	4	8662
2	4	8663
2	5	8662
2	5	8663
2	6	8662
2	6	8663
2	7	8662
2	7	8663
2	8	8662
2	8	8663
2	9	8662
2	9	8663
2	10	8662
2	10	8663
2	11	8662
2	11	8663
2	12	8662
2	12	8663
2	13	8662
2	13	8663
2	14	8662
2	14	8663
2	15	8662
2	15	8663
2	16	8662
2	16	8663
2	17	8662
2	17	8663
2	18	8662
2	18	8663
2	19	8662
2	19	8663
2	20	8662
2	20	8663
2	21	8662
2	21	8663
2	22	8662
2	22	8663
2	23	8662
2	23	8663
2	24	8662
2	24	8663
2	25	8662
2	25	8663
2	26	8662
2	26	8663
2	27	8662
2	27	8663
2	28	8662
2	28	8663
2	29	8662
2	29	8663
2	30	8662
2	30	8663
2	31	8662
2	31	8663
2	32	8662
2	32	8663
2	33	8662
2	33	8663
2	34	8662
2	34	8663
2	35	8662
2	35	8663
2	36	8662
2	36	8663
2	37	8662
2	37	8663
2	38	8662
2	38	8663
2	39	8662
2	39	8663
2	40	8662
2	40	8663
2	41	8662
2	41	8663
2	42	8662
2	42	8663
2	43	8662
2	43	8663
2	44	8662
2	44	8663
2	45	8662
2	45	8663
2	46	8662
2	46	8663
2	47	8662
2	47	8663
2	48	8662
2	48	8663
2	49	8662
2	49	8663
2	50	8662
2	50	8663
2	51	8662
2	51	8663
2	52	8662
2	52	8663
2	53	8662
2	53	8663
2	54	8662
2	54	8663
2	55	8662
2	55	8663
2	56	8662
2	56	8663
2	57	8662
2	57	8663
2	58	8662
2	58	8663
2	59	8662
2	59	8663
2	60	8662
2	60	8663
2	61	8662
2	61	8663
2	62	8662
2	62	8663
2	63	8662
2	63	8663
2	64	8662
2	64	8663
2	65	8662
2	65	8663
2	66	8662
2	66	8663
2	67	8662
2	67	8663
2	68	8662
2	68	8663
2	69	8662
2	69	8663
2	70	8662
2	70	8663
2	71	8662
2	71	8663
2	72	8662
2	72	8663
2	73	8662
2	73	8663
2	74	8662
2	74	8663
2	75	8662
2	75	8663
2	76	8662
2	76	8663
2	77	8662
2	77	8663
2	78	8662
2	78	8663
2	79	8662
2	79	8663
2	80	8662
2	80	8663
2	81	8662
2	81	8663
2	82	8662
2	82	8663
2	83	8662
2	83	8663
2	84	8662
2	84	8663
2	85	8662
2	85	8663
2	86	8662
2	86	8663
2	87	8662
2	87	8663
2	88	8662
2	88	8663
2	89	8662
2	89	8663
2	90	8662
2	90	8663
2	91	8662
2	91	8663
2	92	8662
2	92	8663
2	93	8662
2	93	8663
2	94	8662
2	94	8663
2	95	8662
2	95	8663
2	96	8662
2	96	8663
2	97	8662
2	97	8663
2	98	8662
2	98	8663
2	99	8662
2	99	8663
2	100	8662
2	100	8663
2	101	8662
2	101	8663
2	102	8662
2	102	8663
2	103	8662
2	103	8663
2	104	8662
2	104	8663
2	105	8662
2	105	8663
2	106	8662
2	106	8663
2	107	8662
2	107	8663
2	108	8662
2	108	8663
2	109	8662
2	109	8663
2	110	8662
2	110	8663
2	111	8662
2	111	8663
2	112	8662
2	112	8663
2	113	8662
2	113	8663
2	114	8662
2	114	8663
2	115	8662
2	115	8663
2	116	8662
2	116	8663
2	117	8662
2	117	8663
2	118	8662
2	118	8663
2	119	8662
2	119	8663
2	120	8662
2	120	8663
2	121	8662
2	121	8663
2	122	8662
2	122	8663
2	123	8662
2	123	8663
2	124	8662
2	124	8663
2	125	8662
2	125	8663
2	126	8662
2	126	8663
2	127	8662
2	127	8663
2	128	8662
2	128	8663
2	129	8662
2	129	8663
2	130	8662
2	130	8663
2	131	8662
2	131	8663
2	132	8662
2	132	8663
2	133	8662
2	133	8663
2	134	8662
2	134	8663
2	135	8662
2	135	8663
2	136	8662
2	136	8663
2	137	8662
2	137	8663
2	138	8662
2	138	8663
2	139	8662
2	139	8663
2	140	8660
2	140	8661
2	141	8660
2	141	8661
2	142	8660
2	142	8661
2	143	8660
2	143	8661
